,freq,s_adj,age,unit,sex,geo,date,rate
0,M,SA,TOTAL,PC_ACT,T,AT,2020-04 ,4.9 
1,M,SA,TOTAL,PC_ACT,T,BE,2020-04 ,4.9 
2,M,SA,TOTAL,PC_ACT,T,BG,2020-04 ,5.9 
3,M,SA,TOTAL,PC_ACT,T,CH,2020-04 ,4.6 
4,M,SA,TOTAL,PC_ACT,T,CY,2020-04 ,7.5 
5,M,SA,TOTAL,PC_ACT,T,CZ,2020-04 ,2.2 
6,M,SA,TOTAL,PC_ACT,T,DE,2020-04 ,0
7,M,SA,TOTAL,PC_ACT,T,DK,2020-04 ,4.9 
8,M,SA,TOTAL,PC_ACT,T,EA,2020-04 ,7.3 
9,M,SA,TOTAL,PC_ACT,T,EA18,2020-04 ,7.3 
10,M,SA,TOTAL,PC_ACT,T,EA19,2020-04 ,7.3 
11,M,SA,TOTAL,PC_ACT,T,EE,2020-04 ,6.0 
12,M,SA,TOTAL,PC_ACT,T,EL,2020-04 ,16.2 
13,M,SA,TOTAL,PC_ACT,T,ES,2020-04 ,15.2 
14,M,SA,TOTAL,PC_ACT,T,EU27_2020,2020-04 ,6.6 
15,M,SA,TOTAL,PC_ACT,T,FI,2020-04 ,7.3 
16,M,SA,TOTAL,PC_ACT,T,FR,2020-04 ,7.3 
17,M,SA,TOTAL,PC_ACT,T,HR,2020-04 ,7.8 
18,M,SA,TOTAL,PC_ACT,T,HU,2020-04 ,4.1 
19,M,SA,TOTAL,PC_ACT,T,IE,2020-04 ,4.7 
20,M,SA,TOTAL,PC_ACT,T,IS,2020-04 ,4.8 
21,M,SA,TOTAL,PC_ACT,T,IT,2020-04 ,7.4 
22,M,SA,TOTAL,PC_ACT,T,JP,2020-04 ,2.6 
23,M,SA,TOTAL,PC_ACT,T,LT,2020-04 ,7.8 
24,M,SA,TOTAL,PC_ACT,T,LU,2020-04 ,7.4 
25,M,SA,TOTAL,PC_ACT,T,LV,2020-04 ,8.2 
26,M,SA,TOTAL,PC_ACT,T,MT,2020-04 ,4.3 
27,M,SA,TOTAL,PC_ACT,T,NL,2020-04 ,3.4 
28,M,SA,TOTAL,PC_ACT,T,NO,2020-04 ,4.1 
29,M,SA,TOTAL,PC_ACT,T,PL,2020-04 ,3.1 
30,M,SA,TOTAL,PC_ACT,T,PT,2020-04 ,6.3 
31,M,SA,TOTAL,PC_ACT,T,RO,2020-04 ,5.0 
32,M,SA,TOTAL,PC_ACT,T,SE,2020-04 ,7.9 
33,M,SA,TOTAL,PC_ACT,T,SI,2020-04 ,5.3 
34,M,SA,TOTAL,PC_ACT,T,SK,2020-04 ,6.6 
35,M,SA,TOTAL,PC_ACT,T,TR,2020-04 ,13.6 
36,M,SA,TOTAL,PC_ACT,T,UK,2020-04 ,3.9 
37,M,SA,TOTAL,PC_ACT,T,US,2020-04 ,14.8 
38,M,SA,TOTAL,PC_ACT,T,AT,2020-05 ,5.8 
39,M,SA,TOTAL,PC_ACT,T,BE,2020-05 ,4.9 
40,M,SA,TOTAL,PC_ACT,T,BG,2020-05 ,6.0 
41,M,SA,TOTAL,PC_ACT,T,CH,2020-05 ,4.9 
42,M,SA,TOTAL,PC_ACT,T,CY,2020-05 ,8.0 
43,M,SA,TOTAL,PC_ACT,T,CZ,2020-05 ,2.4 
44,M,SA,TOTAL,PC_ACT,T,DE,2020-05 ,0
45,M,SA,TOTAL,PC_ACT,T,DK,2020-05 ,5.5 
46,M,SA,TOTAL,PC_ACT,T,EA,2020-05 ,7.6 
47,M,SA,TOTAL,PC_ACT,T,EA18,2020-05 ,7.6 
48,M,SA,TOTAL,PC_ACT,T,EA19,2020-05 ,7.6 
49,M,SA,TOTAL,PC_ACT,T,EE,2020-05 ,7.0 
50,M,SA,TOTAL,PC_ACT,T,EL,2020-05 ,16.9 
51,M,SA,TOTAL,PC_ACT,T,ES,2020-05 ,15.3 
52,M,SA,TOTAL,PC_ACT,T,EU27_2020,2020-05 ,6.9 
53,M,SA,TOTAL,PC_ACT,T,FI,2020-05 ,8.2 
54,M,SA,TOTAL,PC_ACT,T,FR,2020-05 ,7.2 
55,M,SA,TOTAL,PC_ACT,T,HR,2020-05 ,8.5 
56,M,SA,TOTAL,PC_ACT,T,HU,2020-05 ,4.8 
57,M,SA,TOTAL,PC_ACT,T,IE,2020-05 ,4.8 
58,M,SA,TOTAL,PC_ACT,T,IS,2020-05 ,5.0 
59,M,SA,TOTAL,PC_ACT,T,IT,2020-05 ,8.7 
60,M,SA,TOTAL,PC_ACT,T,JP,2020-05 ,2.9 
61,M,SA,TOTAL,PC_ACT,T,LT,2020-05 ,8.5 
62,M,SA,TOTAL,PC_ACT,T,LU,2020-05 ,7.6 
63,M,SA,TOTAL,PC_ACT,T,LV,2020-05 ,8.6 
64,M,SA,TOTAL,PC_ACT,T,MT,2020-05 ,4.4 
65,M,SA,TOTAL,PC_ACT,T,NL,2020-05 ,3.6 
66,M,SA,TOTAL,PC_ACT,T,NO,2020-05 ,4.6 
67,M,SA,TOTAL,PC_ACT,T,PL,2020-05 ,3.3 
68,M,SA,TOTAL,PC_ACT,T,PT,2020-05 ,5.9 
69,M,SA,TOTAL,PC_ACT,T,RO,2020-05 ,5.1 
70,M,SA,TOTAL,PC_ACT,T,SE,2020-05 ,8.4 
71,M,SA,TOTAL,PC_ACT,T,SI,2020-05 ,5.5 
72,M,SA,TOTAL,PC_ACT,T,SK,2020-05 ,6.7 
73,M,SA,TOTAL,PC_ACT,T,TR,2020-05 ,14.0 
74,M,SA,TOTAL,PC_ACT,T,UK,2020-05 ,3.8 
75,M,SA,TOTAL,PC_ACT,T,US,2020-05 ,13.3 
76,M,SA,TOTAL,PC_ACT,T,AT,2020-06 ,6.0 
77,M,SA,TOTAL,PC_ACT,T,BE,2020-06 ,5.3 
78,M,SA,TOTAL,PC_ACT,T,BG,2020-06 ,5.7 
79,M,SA,TOTAL,PC_ACT,T,CH,2020-06 ,5.0 
80,M,SA,TOTAL,PC_ACT,T,CY,2020-06 ,7.7 
81,M,SA,TOTAL,PC_ACT,T,CZ,2020-06 ,2.7 
82,M,SA,TOTAL,PC_ACT,T,DE,2020-06 ,0
83,M,SA,TOTAL,PC_ACT,T,DK,2020-06 ,6.0 
84,M,SA,TOTAL,PC_ACT,T,EA,2020-06 ,7.9 
85,M,SA,TOTAL,PC_ACT,T,EA18,2020-06 ,7.9 
86,M,SA,TOTAL,PC_ACT,T,EA19,2020-06 ,7.9 
87,M,SA,TOTAL,PC_ACT,T,EE,2020-06 ,8.0 
88,M,SA,TOTAL,PC_ACT,T,EL,2020-06 ,17.9 
89,M,SA,TOTAL,PC_ACT,T,ES,2020-06 ,16.0 
90,M,SA,TOTAL,PC_ACT,T,EU27_2020,2020-06 ,7.2 
91,M,SA,TOTAL,PC_ACT,T,FI,2020-06 ,7.8 
92,M,SA,TOTAL,PC_ACT,T,FR,2020-06 ,6.9 
93,M,SA,TOTAL,PC_ACT,T,HR,2020-06 ,8.4 
94,M,SA,TOTAL,PC_ACT,T,HU,2020-06 ,4.9 
95,M,SA,TOTAL,PC_ACT,T,IE,2020-06 ,5.3 
96,M,SA,TOTAL,PC_ACT,T,IS,2020-06 ,5.2 
97,M,SA,TOTAL,PC_ACT,T,IT,2020-06 ,9.3 
98,M,SA,TOTAL,PC_ACT,T,JP,2020-06 ,2.8 
99,M,SA,TOTAL,PC_ACT,T,LT,2020-06 ,8.8 
100,M,SA,TOTAL,PC_ACT,T,LU,2020-06 ,7.6 
101,M,SA,TOTAL,PC_ACT,T,LV,2020-06 ,8.8 
102,M,SA,TOTAL,PC_ACT,T,MT,2020-06 ,4.4 
103,M,SA,TOTAL,PC_ACT,T,NL,2020-06 ,4.3 
104,M,SA,TOTAL,PC_ACT,T,NO,2020-06 ,5.2 
105,M,SA,TOTAL,PC_ACT,T,PL,2020-06 ,3.4 
106,M,SA,TOTAL,PC_ACT,T,PT,2020-06 ,7.3 
107,M,SA,TOTAL,PC_ACT,T,RO,2020-06 ,5.3 
108,M,SA,TOTAL,PC_ACT,T,SE,2020-06 ,9.2 
109,M,SA,TOTAL,PC_ACT,T,SI,2020-06 ,5.4 
110,M,SA,TOTAL,PC_ACT,T,SK,2020-06 ,6.8 
111,M,SA,TOTAL,PC_ACT,T,TR,2020-06 ,14.3 
112,M,SA,TOTAL,PC_ACT,T,UK,2020-06 ,4.0 
113,M,SA,TOTAL,PC_ACT,T,US,2020-06 ,11.1 
114,M,SA,TOTAL,PC_ACT,T,AT,2020-07 ,5.8 
115,M,SA,TOTAL,PC_ACT,T,BE,2020-07 ,5.9 
116,M,SA,TOTAL,PC_ACT,T,BG,2020-07 ,5.3 
117,M,SA,TOTAL,PC_ACT,T,CH,2020-07 ,5.1 
118,M,SA,TOTAL,PC_ACT,T,CY,2020-07 ,7.6 
119,M,SA,TOTAL,PC_ACT,T,CZ,2020-07 ,2.7 
120,M,SA,TOTAL,PC_ACT,T,DE,2020-07 ,0
121,M,SA,TOTAL,PC_ACT,T,DK,2020-07 ,6.3 
